month,channel,sessions,conversions,spend
1/1/2024,Paid Search,1532,85,1388.86
1/1/2024,Organic,1585,40,165.63
1/1/2024,Social,1478,79,1087.44
1/1/2024,Email,539,14,40.91
1/1/2024,Referral,831,49,95.78
2/1/2024,Paid Search,1930,68,1277.92
2/1/2024,Organic,1243,41,161.82
2/1/2024,Social,665,36,568.96
2/1/2024,Email,590,34,116.06
2/1/2024,Referral,760,15,28.27
3/1/2024,Paid Search,1530,61,1027.77
3/1/2024,Organic,1402,28,97.38
3/1/2024,Social,1118,25,343.81
3/1/2024,Email,630,15,41.36
3/1/2024,Referral,726,19,33.21
4/1/2024,Paid Search,1842,66,1188.91
4/1/2024,Organic,1315,49,214.68
4/1/2024,Social,961,54,797.6
4/1/2024,Email,557,21,53.9
4/1/2024,Referral,776,18,40.98
5/1/2024,Paid Search,2499,50,889.33
5/1/2024,Organic,1119,43,177.17
5/1/2024,Social,821,16,219.29
5/1/2024,Email,855,24,74.97
5/1/2024,Referral,765,43,81.82
6/1/2024,Paid Search,1404,74,1324.29
6/1/2024,Organic,1056,61,238.52
6/1/2024,Social,1083,46,616.6
6/1/2024,Email,706,39,111.93
6/1/2024,Referral,806,47,91.1
7/1/2024,Paid Search,1708,89,1803.73
7/1/2024,Organic,956,36,128.13
7/1/2024,Social,976,47,713.54
7/1/2024,Email,673,32,82.13
7/1/2024,Referral,743,16,35.46
8/1/2024,Paid Search,1699,96,1980.17
8/1/2024,Organic,1208,52,229.23
8/1/2024,Social,870,49,782.44
8/1/2024,Email,692,24,70.91
8/1/2024,Referral,666,36,68.26
9/1/2024,Paid Search,2114,92,1849.56
9/1/2024,Organic,1306,48,178.93
9/1/2024,Social,1097,35,424.06
9/1/2024,Email,735,40,116.23
9/1/2024,Referral,780,42,82.4
10/1/2024,Paid Search,1362,44,847.56
10/1/2024,Organic,1470,84,326.59
10/1/2024,Social,1078,40,596.15
10/1/2024,Email,691,40,135.7
10/1/2024,Referral,794,31,61.12
11/1/2024,Paid Search,1703,54,984.75
11/1/2024,Organic,972,24,92.09
11/1/2024,Social,1155,42,642.99
11/1/2024,Email,722,28,83.81
11/1/2024,Referral,795,35,71.27
12/1/2024,Paid Search,1763,103,1709.22
12/1/2024,Organic,1074,64,262.94
12/1/2024,Social,1085,49,637.25
12/1/2024,Email,662,18,58.32
12/1/2024,Referral,552,14,31.21
1/1/2025,Paid Search,1662,64,1232.03
1/1/2025,Organic,1263,29,125.75
1/1/2025,Social,1238,45,654.45
1/1/2025,Email,537,22,74.7
1/1/2025,Referral,1026,38,79.39
2/1/2025,Paid Search,1949,77,1326.53
2/1/2025,Organic,1572,79,322.48
2/1/2025,Social,971,22,316.63
2/1/2025,Email,679,19,58.28
2/1/2025,Referral,750,23,49.93
3/1/2025,Paid Search,1660,92,1699.32
3/1/2025,Organic,1240,57,245.97
3/1/2025,Social,799,28,381.86
3/1/2025,Email,588,17,55.14
3/1/2025,Referral,730,25,55.11
4/1/2025,Paid Search,1658,69,1337.19
4/1/2025,Organic,1236,33,136.68
4/1/2025,Social,1415,74,1076.02
4/1/2025,Email,815,43,110.94
4/1/2025,Referral,827,18,31.45
5/1/2025,Paid Search,1576,48,759.18
5/1/2025,Organic,1641,87,315.83
5/1/2025,Social,1216,39,559.21
5/1/2025,Email,684,16,41.46
5/1/2025,Referral,827,33,64.78
6/1/2025,Paid Search,1351,47,795.27
6/1/2025,Organic,1375,35,132.83
6/1/2025,Social,1062,23,370.06
6/1/2025,Email,787,20,63.72
6/1/2025,Referral,1004,28,52.03
7/1/2025,Paid Search,1998,85,1745.29
7/1/2025,Organic,1210,39,152.66
7/1/2025,Social,922,22,332.49
7/1/2025,Email,900,43,140.95
7/1/2025,Referral,781,31,55.97
8/1/2025,Paid Search,1779,54,954.84
8/1/2025,Organic,1348,34,134.24
8/1/2025,Social,1405,31,498.34
8/1/2025,Email,560,25,65.01
8/1/2025,Referral,557,28,58.04
9/1/2025,Paid Search,2075,72,1220.2
9/1/2025,Organic,1418,67,235.03
9/1/2025,Social,835,38,544.17
9/1/2025,Email,484,25,68.26
9/1/2025,Referral,681,29,55.44
10/1/2025,Paid Search,1424,41,631.08
10/1/2025,Organic,1081,28,122.93
10/1/2025,Social,928,23,311.14
10/1/2025,Email,577,29,95
10/1/2025,Referral,943,20,45.06
11/1/2025,Paid Search,1565,53,815.52
11/1/2025,Organic,1100,33,144.2
11/1/2025,Social,812,32,494.14
11/1/2025,Email,769,31,84.12
11/1/2025,Referral,710,21,37.74
12/1/2025,Paid Search,1852,95,1813.21
12/1/2025,Organic,1123,66,247.6
12/1/2025,Social,1183,55,815.4
12/1/2025,Email,655,20,53.12
12/1/2025,Referral,576,31,64.63
